SYSTEM,STATION_ID,DC_NOME,SG_ESTADO,CD_SITUACAO,VL_LATITUDE,VL_LONGITUDE,VL_ALTITUDE,DT_INICIO_OPERACAO
INMET,A628,ANGRA DOS REIS,RJ,Operante,-22.97555554,-44.30333333,6.0,2017-08-24
INMET,A606,ARRAIAL DO CABO,RJ,Operante,-22.97527777,-42.02138888,5.0,2006-09-21
INMET,A604,CAMBUCI,RJ,Operante,-21.58749999,-41.95833333,46.0,2002-11-19
INMET,A607,CAMPOS DOS GOYTACAZES,RJ,Operante,-21.71472222,-41.34388888,17.0,2006-09-24
INMET,A620,CAMPOS DOS GOYTACAZES - SAO TOME,RJ,Operante,-22.04166666,-41.05166666,7.0,2008-06-12
INMET,A629,CARMO,RJ,Operante,-21.938745,-42.600936,293.0,2018-10-10
INMET,A603,DUQUE DE CAXIAS - XEREM,RJ,Operante,-22.58972221,-43.28222221,22.0,2002-10-20
INMET,A608,MACAE,RJ,Operante,-22.3761111,-41.81194444,28.0,2006-09-21
INMET,A627,NITEROI,RJ,Operante,-22.86749999,-43.10194444,6.0,2018-07-12
INMET,A624,NOVA FRIBURGO - SALINAS,RJ,Operante,-22.33472221,-42.67694443,1070.0,2010-09-17
INMET,A619,PARATY,RJ,Operante,-23.2236111,-44.72694443,3.0,2006-11-18
INMET,A610,PICO DO COUTO,RJ,Operante,-22.46472222,-43.29138888,1777.0,2006-10-21
INMET,A637,Paty do Alferes - Avelar,RJ,Operante,-22.34722221,-43.41777777,508.0,2022-11-09
INMET,A609,RESENDE,RJ,Operante,-22.45138888,-44.44499999,438.83,2006-09-28
INMET,A626,RIO CLARO,RJ,Operante,-22.653579,-44.040916,516.0,2016-06-02
INMET,A652,RIO DE JANEIRO - FORTE DE COPACABANA,RJ,Operante,-22.98833333,-43.19055555,25.59,2007-05-17
INMET,A636,RIO DE JANEIRO - JACAREPAGUA,RJ,Operante,-22.93999999,-43.40277777,20.0,2017-08-09
INMET,A621,RIO DE JANEIRO - VILA MILITAR,RJ,Operante,-22.86138888,-43.41138888,30.43,2007-04-12
INMET,A602,RIO DE JANEIRO-MARAMBAIA,RJ,Operante,-23.05027777,-43.59555555,12.0,2002-11-07
INMET,A630,SANTA MARIA MADALENA,RJ,Operante,-21.95055555,-42.01027777,517.0,2018-10-15
INMET,A667,SAQUAREMA - SAMPAIO CORREIA,RJ,Operante,-22.8711111,-42.60888888,26.0,2015-09-01
INMET,A601,SEROPEDICA-ECOLOGIA AGRICOLA,RJ,Operante,-22.75777777,-43.68472221,35.0,2000-05-23
